,PM10,PM25,aod354,aod443,aod550,alh,distance,t2m,rh,blh,sp,ws,wd,tp
2022-01-01 01:00:00,24.0,14.0,0.17597266,0.12267747,0.08354695,1.5127394,2.263,268.05,30.351,294.94,99548.37,1.077,291.801,0.0
2022-01-01 02:00:00,13.0,9.0,0.3784650564193725,0.2637211382389068,0.1795246452093124,0.744893491268158,2.46399998664856,270.1,26.431,397.1,99549.51,1.231,308.733,0.0
2022-01-01 03:00:00,11.0,4.0,0.3246605396270752,0.2260303199291229,0.1537412852048874,1.0110043287277222,2.559999942779541,271.67,26.343,487.35,99463.88,1.408,316.439,0.0
2022-01-01 04:00:00,18.0,4.0,0.1820647716522216,0.1474406421184539,0.1315845400094986,1.9029035568237305,2.61299991607666,272.74,27.995,538.03,99351.74,1.599,317.027,0.0
2022-01-01 05:00:00,18.0,7.0,0.6326090097427368,0.4434247016906738,0.3034834563732147,0.3117649853229522,2.7869999408721924,273.42,29.96,551.34,99255.7,1.498,320.145,0.0
2022-01-01 06:00:00,17.0,5.0,0.4023548662662506,0.2815561592578888,0.192407950758934,0.7336375713348389,2.9170000553131104,273.74,32.283,538.82,99206.07,1.284,319.737,0.0
2022-01-02 05:00:00,66.0,48.0,0.7945577502250671,0.6041911840438843,0.4278056919574737,0.4311932921409607,2.0360000133514404,277.17,45.442,1176.4,98888.2,4.102,295.253,0.0
2022-01-02 06:00:00,78.0,53.0,0.7983847856521606,0.607101321220398,0.4298662543296814,0.148876667022705,2.469000101089477,276.63,40.593,1102.54,98882.52,3.941,297.671,0.0
2022-01-03 04:00:00,29.0,19.0,0.4682290852069855,0.3264834880828857,0.2223840504884719,1.1488021612167358,1.347000002861023,274.75,31.734,747.49,98884.6,3.15,287.745,0.0
2022-01-03 05:00:00,26.0,13.0,0.3810642957687378,0.2657458484172821,0.1810380518436432,1.1988000869750977,1.684000015258789,275.1,35.272,823.29,98820.2,3.336,288.163,0.0
2022-01-03 06:00:00,26.0,11.0,0.4658876955509186,0.3244457840919494,0.2207399159669876,0.9133261442184448,2.111000061035156,275.07,40.052,837.81,98792.54,3.362,287.842,0.0
2022-01-04 01:00:00,30.0,15.0,0.1713503003120422,0.1387946009635925,0.1238679364323616,1.794774293899536,0.4880000054836273,271.73,41.87,474.24,99148.67,2.876,296.209,0.0
