idx,lat,lon,type,PM10mean,PM10mean_overlap,PM10_yhat_mean_overlap
111121,37.5643,126.9747,city,31.076875502504794,37.41182572614108,37.653775933609964
131111,37.2838,127.0105,city,34.62972105652925,45.91688311688312,46.41755844155844
221112,35.0999,129.0305,city,27.04077340966177,33.87006109979633,34.25239103869654
238111,35.2181,128.5739,city,30.93545308119072,36.27745919717689,36.59379355977062
238112,35.2176,128.6025,city,27.9570418385386,36.01131889763779,36.14672244094489
238113,35.2259,128.5033,city,26.15963148070091,31.409364261168385,31.707843642611685
238120,35.5028,129.4184,city,30.50547913266496,36.493449781659386,36.717223955084215
238121,35.5563,129.3205,city,29.58817324034461,35.77989130434783,36.01716938405797
238122,35.4973,129.339,city,34.256106847870655,44.889990982867445,45.39407123534716
238123,35.5156,129.3671,city,41.31340230991338,62.41309699655342,63.2564795667159
238124,35.529,129.3262,city,31.41624189063948,38.775,39.16380909090909
238125,35.5444,129.3318,city,32.72113200954988,39.8138178555406,40.038286227007625
238127,35.5347,129.3081,city,29.78879565063232,38.57323600973236,39.08987347931873
238128,35.4363,129.3079,city,30.01449378837641,37.32770663562282,38.01920256111758
238129,35.5593,129.2608,city,28.581363004172463,33.41263940520446,33.56174721189591
238130,35.5595,129.3711,city,36.7767644496079,45.690402476780186,46.14088456435206
238131,35.1959,128.0745,city,28.57170685833277,32.79455327281414,33.06185379837553
238132,35.1921,128.0837,city,32.16364408321708,35.77268560953254,36.264115490375794
238133,35.1809,128.1225,city,31.395010757690294,34.45867768595041,34.83361570247934
238134,35.1248,128.0997,city,29.122672772187745,33.9067055393586,34.34500485908649
238141,35.2403,128.644,city,26.91774814814815,30.448168007149242,30.747832886505805
238142,35.2115,128.6575,city,28.25920745920746,31.198698481561824,31.582642082429505
238143,35.1994,128.7111,city,23.697013795913616,28.49400171379606,28.78290059982862
238144,35.2363,128.684,city,28.70228648680421,34.85006462731581,35.22897888841016
238146,35.2217,128.6983,city,28.8153010682103,31.84132007233273,32.02296112115733
238151,35.155,128.6895,city,25.9524673927659,28.163378856853818,28.403464845725843
238152,35.1831,128.5629,city,26.994488600104425,32.51029654036244,32.811857495881384
238161,35.0677,127.7514,city,26.983583734555367,30.932883240667195,31.22531771247022
238162,34.9659,127.7943,city,24.61167142773859,29.40441767068273,29.67111646586345
238181,35.2369,128.8834,city,31.030174727175144,38.046998867497166,38.14424688561721
238182,35.2443,128.9118,city,26.39664969811768,35.11295336787565,35.569284974093264
238183,35.2024,128.8072,city,29.993761028485,35.33644375324002,35.81386728875064
238184,35.3078,128.7312,city,33.09168071623743,38.05982905982906,38.4534358974359
238201,34.8636,128.6903,city,24.148644124539672,28.768796175575837,28.981395045632336
238203,34.8808,128.6211,city,25.289415688843885,32.88001824817518,32.900885036496355
238211,35.0828,128.0912,city,30.122181709948656,36.639830508474574,36.78491525423729
238212,34.9338,128.0933,city,27.76878372768784,34.76492890995261,35.22641232227489
238361,35.3458,129.041,city,23.905015946651204,29.479305740987986,29.549145527369824
238362,35.4144,129.172,city,30.70355515041021,35.127272727272725,35.46925798525799
238363,35.3106,128.9872,city,31.084540917563587,35.80853126514784,36.12218128938439
238371,35.4381,129.3376,city,31.74067816359823,39.099395936298734,39.375875892366835
238373,35.4931,129.3059,city,29.631575901383183,38.188804554079695,38.6322770398482
238374,35.6203,129.358,city,29.797201981929465,34.30776092774309,34.3814897413024
238375,35.5583,129.1138,city,30.45788033948236,34.98562392179414,35.237009775733185
238376,35.5679,129.3195,city,33.13350615683733,40.402910413824465,40.67012278308322
238377,35.4615,129.2091,city,31.45578231292517,35.25758969641215,35.47777368905244
238378,35.5706,129.2219,city,29.198219688154527,35.1859649122807,35.34072368421053
238381,35.5088,129.4267,city,31.207742161499382,36.67236119585113,36.79008541793777
238401,35.4937,128.7542,city,27.86815391879131,33.56109395677106,33.743127481252756
238411,34.8572,128.4324,city,27.796605157321977,32.9429718875502,33.214449799196785
238421,34.9745,128.3243,city,28.333372413388823,32.977551020408164,33.32701632653061
