,PM10,PM25,aod354,aod443,aod550,alh,distance,t2m,rh,blh,sp,ws,wd,tp
2022-01-01 01:00:00,14.0,8.0,0.25004667,0.20264898,0.18084827,0.47468162,2.854,272.59,27.786,271.06,101674.36,2.792,341.63,0.0
2022-01-01 02:00:00,11.0,6.0,0.1092601418495178,0.0885354056954383,0.0790124386548996,1.7024500370025637,3.315999984741211,274.2,28.368,320.48,101696.52,2.394,342.246,0.0
2022-01-01 03:00:00,11.0,10.0,0.108175940811634,0.0876557603478431,0.0782275274395942,1.9881925582885744,3.5439999103546143,275.48,27.377,382.34,101611.84,1.861,344.097,0.0
2022-01-01 04:00:00,13.0,8.0,0.1522176861763,0.1232247352600097,0.1099724620580673,1.9935359954833984,3.441999912261963,276.37,25.958,491.06,101511.82,1.252,337.944,0.0
2022-01-01 05:00:00,9.0,6.0,0.0233627427369356,0.0189119968563318,0.0168780144304037,1.998896837234497,3.303999900817871,276.88,24.939,584.1,101431.7,0.847,329.5,0.0
2022-01-01 06:00:00,9.0,7.0,0.1646585762500763,0.1139631941914558,0.0770798921585083,1.7767614126205444,3.252000093460083,277.09,24.352,621.96,101397.98,0.666,324.162,0.0
2022-01-02 01:00:00,30.0,22.0,0.2796220481395721,0.2263770252466201,0.2020325660705566,0.6637630462646484,2.095000028610229,277.43,33.259,198.42,101226.73,2.519,286.133,0.0
2022-01-02 02:00:00,33.0,25.0,0.2075446546077728,0.1680101454257965,0.1499411612749099,1.5564632415771484,2.549000024795532,278.99,32.236,410.53,101245.67,3.169,277.798,0.0
2022-01-02 03:00:00,32.0,24.0,0.2009872645139694,0.1626981347799301,0.1452000439167022,1.915232419967652,2.946000099182129,280.03,39.554,758.07,101168.2,3.869,273.853,0.0
2022-01-02 04:00:00,27.0,16.0,0.3888063728809356,0.26956507563591,0.1826286613941192,0.8649623394012451,3.151000022888184,280.71,45.896,1161.04,101081.44,4.378,275.242,0.0
2022-01-02 05:00:00,27.0,15.0,0.298469066619873,0.2065761536359787,0.1397194564342498,2.0058953762054443,3.0989999771118164,281.19,45.088,1482.02,101008.32,5.087,285.156,0.0
2022-01-02 06:00:00,26.0,21.0,0.3145323395729065,0.21769380569458,0.1472390294075012,1.8208976984024048,3.453000068664551,281.36,44.67,1518.77,100967.4,4.605,287.569,0.0
2022-01-03 01:00:00,84.0,57.0,0.2496165335178375,0.202218472957611,0.1804705113172531,0.6248496174812317,2.1050000190734863,276.01,33.596,227.28,101168.58,2.951,317.335,0.0
2022-01-03 02:00:00,72.0,44.0,0.1744258850812912,0.1412644386291504,0.1260724514722824,1.4600692987442017,2.194999933242798,277.4,27.907,300.39,101172.36,3.069,314.208,0.0
2022-01-03 03:00:00,32.0,25.0,0.1073755547404289,0.086958147585392,0.0776064619421958,1.9939188957214355,2.3350000381469727,278.49,25.739,412.86,101082.38,3.358,308.713,0.0
2022-01-03 04:00:00,22.0,16.0,0.1615009307861328,0.1309157013893127,0.116828829050064,1.772783875465393,2.4660000801086426,279.26,24.641,542.73,100973.65,3.332,302.498,0.0
2022-01-03 05:00:00,20.0,10.0,0.0577030144631862,0.046710230410099,0.0416865572333335,1.9926453828811648,2.5789999961853027,279.71,24.691,668.42,100895.04,3.224,296.327,0.0
2022-01-03 06:00:00,24.0,18.0,0.1820095628499984,0.1474524885416031,0.1315943896770477,1.5208332538604736,2.7219998836517334,279.85,25.212,786.93,100864.54,3.17,291.466,0.0
2022-01-04 01:00:00,80.0,52.0,0.4676621854305267,0.3556150496006012,0.251798003911972,0.4289021492004394,1.2480000257492063,276.91,61.611,1088.49,101278.63,3.522,313.62,0.0
2022-01-04 02:00:00,67.0,47.0,0.47787606716156,0.3633818030357361,0.2572973668575287,0.7115256190299988,1.7209999561309814,277.5,53.521,1035.15,101271.06,3.728,313.587,0.0
2022-01-04 03:00:00,62.0,38.0,0.2823156416416168,0.2146756798028946,0.152003988623619,3.3981504440307617,3.660000085830689,278.18,44.266,1002.55,101200.59,3.752,309.375,0.0
2022-01-04 04:00:00,56.0,39.0,0.3397176265716553,0.2583246827125549,0.1829102933406829,1.4844954013824463,3.697999954223633,278.84,36.419,1042.62,101110.42,3.823,305.311,0.0
2022-01-04 05:00:00,55.0,38.0,0.3087508380413055,0.2136923521757125,0.1445325911045074,2.3939125537872314,3.638000011444092,279.33,31.07,1116.87,101075.0,3.767,302.425,0.0
2022-01-04 06:00:00,49.0,37.0,0.3515801131725311,0.2441886067390442,0.1657209396362304,1.9914385080337524,3.575999975204468,279.5,27.291,1172.18,101073.67,3.631,302.858,0.0
2022-01-06 01:00:00,51.0,36.0,0.217888593673706,0.1764959096908569,0.1575145423412323,0.7919478416442871,3.260999917984009,277.91,69.744,449.92,101167.25,4.472,333.721,0.0
2022-01-06 02:00:00,35.0,20.0,0.0838037133216857,0.0678527206182479,0.0605558902025222,2.0193798542022705,3.75600004196167,278.79,58.744,499.66,101194.34,4.767,333.596,0.0
