,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
12,,,,,,,,,,,0.12189875768623734,0.18577151728238694,0.16348874068847818,0.1754038541188868,0.17263027166259662,0.2136621307815921,,,,,,,,
11,,,,,,,,,,,0.27760076367263686,0.2970038992165242,0.2767190185185185,0.2839450846560846,0.33420984006132753,0.5503654560023309,,,,,,,,
10,,,,,,,,,,0.128788233250572,0.12033355243142271,0.13016974247037683,0.129160745027195,0.11416618488918487,0.11810517060717056,0.14412948565234368,0.1386923513125763,,,,,,,
9,,,,,,,,,0.10705205497203409,0.11294481352984366,0.11707771501413092,0.12047728518377271,0.1433987864889971,0.12887451563234856,0.17824196945263068,0.18014330361737627,0.17369169373714985,0.12651011764219575,,,,,,
8,,,,,,,,,0.33662850246164944,0.2163180851587301,0.17516453542224975,0.13908529236239947,0.11791518534632033,0.11860991008465607,0.16455893618326115,0.15910686949494945,0.26061871404246545,0.2581577346630354,,,,,,
7,,,,,,,,,0.3574579034143519,0.331313792276936,0.2703360389273689,0.21323240198412696,0.32090572083333335,,0.39771788055555557,0.30517314999999995,0.31781767786426535,0.31290154297924294,,,,,,
6,,,,,,,,,0.5170063665341288,0.5032045336780779,0.45375658957156595,0.42336000606502344,0.4353928821265242,0.4291420020881896,0.4272989918544286,0.46495540505900346,0.44828159012541685,0.3961023098192625,,,,,,
5,,,,,,,,,0.3561671666940428,0.35142494215296877,0.3695550734529265,0.40413055422111005,0.429003511519441,0.4314493244498625,0.42041565448631557,0.3878904257144311,0.3921739882764621,0.40266523256223485,,,,,,
4,,,,,,,,,0.4205920056673763,0.4112425577001114,0.39948235504105767,0.43070656542428853,0.44006423377343334,0.46857228878125673,0.4609694892453211,0.43686691712685044,0.43113821745479597,0.4379126068949281,,,,,,
3,,,,,,,,,,0.4234273266582914,0.3685835964804064,0.43788914240686116,0.40888914183645036,0.42261256365286587,0.4640731156080366,0.4195398235120612,0.34506565913050474,,,,,,,
2,,,,,,,,,,,0.2915468008604382,0.2835109067895134,0.2986647014655999,0.2922283503200185,0.3168885658633321,0.30381418021367645,0.2679848622681124,,,,,,,
1,,,,,,,,,,,0.21311014885163854,0.22357192199602943,0.23748737256534586,0.17675735093699046,0.18134633519078006,0.2101935803684925,,,,,,,,
