,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
12,,,,,,,,,,,25.2867892595697,22.786258445998307,20.937269001352732,19.49123244663917,19.669947336944244,21.86712980461722,,,,,,,,
11,,,,,,,,,,,23.487901820094145,20.06741249830004,18.126817009319844,17.31995594714604,17.317472358563162,18.41158996708119,,,,,,,,
10,,,,,,,,,,22.322346620414784,19.343832709962946,17.03425897440817,15.08456342411025,14.373184864724553,14.118271616295916,14.903037351164903,14.586768471226634,,,,,,,
9,,,,,,,,,16.490566509343815,15.693593276665935,14.769987816544505,13.847754310464294,12.85349881226399,12.54275239926667,12.39845997658187,12.999345933284705,13.988816359548922,14.010001338179437,,,,,,
8,,,,,,,,,15.933737241425757,15.371513763250968,14.28950610402618,12.709868744387967,12.100570669392326,10.911704152969541,11.351433209221332,12.29959875433539,13.896021593463555,14.711447291355022,,,,,,
7,,,,,,,,,16.825356335667305,16.934190958385393,16.650282605834118,15.697886976144414,14.78730133159071,13.590471736111114,13.511620725108234,13.957627079723258,15.477897190330891,15.804221062191742,,,,,,
6,,,,,,,,,18.135367551751216,17.719678487111764,17.27456831547436,16.310764670802893,15.364310505773192,15.106520652255975,15.255421641978108,15.501723254144649,15.754423567299282,15.880929192442103,,,,,,
5,,,,,,,,,21.982477771368973,20.218930966911955,18.46289140927227,17.24827899512448,16.332735230929174,15.922023494412434,15.99378494164076,15.98876849464014,16.55975005397366,16.95076986613717,,,,,,
4,,,,,,,,,28.070998174343757,25.34165806963669,23.170522934763852,20.407021489106818,17.954223244098984,17.126381196506575,17.39949914724255,18.249668318619815,18.944432454142678,19.70707741345631,,,,,,
3,,,,,,,,,,30.80751480350338,27.670941339837807,24.266207523179904,21.414505337489704,19.68967300752597,20.290689013035493,21.304559277265135,22.336592578198257,,,,,,,
2,,,,,,,,,,,25.771333176754297,22.896257511142196,20.45888075996846,19.405592553064295,19.370622708765037,19.858091115228586,20.822391391657305,,,,,,,
1,,,,,,,,,,,25.586253708570894,23.03953928648898,21.051751563768665,19.60697994890636,19.5279141567543,20.01357623336775,,,,,,,,
