,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
12,,,,,,,,,,,0.27473713422659785,0.33919298013169613,0.2889446423995116,0.3001923426412619,0.2995797499186463,0.35271484690784205,,,,,,,,
11,,,,,,,,,,,0.30928696257926397,0.2962896165748437,0.21393049259980515,0.2271588107364045,0.27682973092628843,0.3596096197143197,,,,,,,,
10,,,,,,,,,,0.18397612554359838,0.15772691268534933,0.1607703139695028,0.1552149347015515,0.14712668727669448,0.1169944523710347,0.14792936109006405,0.2107301771325486,,,,,,,
9,,,,,,,,,0.15625287579993405,0.13549319073746446,0.16071467356954777,0.1306232444354069,0.11862454735649325,0.11438750269546823,0.19446686914414854,0.2053552008125444,0.2135177877721309,0.16972638623685465,,,,,,
8,,,,,,,,,0.35647199444530997,0.17073904473689341,0.13442630000447311,0.07510564207942004,0.06265779875351915,0.04510904989515742,0.045288279788413405,0.055625399757021396,0.1266073254535773,0.2298422217240785,,,,,,
7,,,,,,,,,0.3336257880702356,0.22151920943676184,0.17349109915542021,0.18001306450201404,0.19590500742197037,,0.21597102941013874,0.13215015921741727,0.185476014999828,0.33616878803993117,,,,,,
6,,,,,,,,,0.44822751789133164,0.4945891409395873,0.4196820874013059,0.33505084262653984,0.3402426605245897,0.37811516091654385,0.2786451954111856,0.35078408734019223,0.36714559384167506,0.3857911513180523,,,,,,
5,,,,,,,,,0.2889496344957564,0.26034438646319785,0.23745426782488852,0.2586314864372195,0.3087792752071716,0.2745717468195381,0.25722279246789115,0.2331296268368428,0.29348514265292547,0.2636468830737942,,,,,,
4,,,,,,,,,0.35999930468569347,0.30929326034241456,0.25231624283223064,0.2572223048021071,0.21077124881656117,0.22821489022222738,0.263377733044166,0.27361222005511854,0.3155007809943698,0.27178603842320465,,,,,,
3,,,,,,,,,,0.34638771818617425,0.27695029582438707,0.3003495674644087,0.23129380614639666,0.2253013790190498,0.30528200523227295,0.31359949449585245,0.2585252414150939,,,,,,,
2,,,,,,,,,,,0.23915761058928953,0.21097099611577555,0.19360661480241906,0.18278443987970197,0.20186018683433693,0.2353136254297601,0.19527065969252344,,,,,,,
1,,,,,,,,,,,0.2206682941253947,0.19283412010075102,0.16311259583902799,0.14018914784207032,0.15818149183093883,0.16023809569401598,,,,,,,,
