,PM10,PM25,CO,SO2,NO2,O3,aod354,aod443,aod550,alh,distance,t2m,rh,blh,sp,ws,wd
2022-01-01 01:00:00,36.0,12.0,0.8,0.004,0.028,0.017,0.31854123,0.22046843,0.14911568,0.13728231,1.736,268.426,32.73,313.86,101333.812,0.81,349.189
2022-01-01 02:00:00,35.0,21.0,0.7,0.004,0.026,0.02,0.2874236106872558,0.1993488073348999,0.1351061761379242,0.6185547709465027,1.212000012397766,270.346,30.194,411.96,101328.753,0.991,350.823
2022-01-01 03:00:00,33.0,14.0,0.5,0.004,0.019,0.028,0.2630567848682403,0.1834161430597305,0.1249299347400665,0.8256667256355286,1.11899995803833,271.908,31.2,489.177,101239.921,1.159,347.895
2022-01-01 05:00:00,25.0,16.0,0.5,0.004,0.015,0.029,0.2345502227544784,0.1678763478994369,0.1169669553637504,1.4079848527908323,1.35099995136261,273.895,35.271,540.04,101006.25,1.17,355.59
2022-01-02 04:00:00,60.0,49.0,0.8,0.005,0.016,0.035,1.0056978464126587,0.7647455334663391,0.5414883494377136,0.6027268767356873,1.6770000457763672,277.939,48.34,1029.464,100707.983,3.83,299.858
2022-01-02 06:00:00,103.0,53.0,0.7,0.005,0.016,0.039,0.9635539054870604,0.7326985597610474,0.5187970399856567,0.7146010994911194,1.2510000467300415,276.864,34.421,998.699,100656.6,3.814,306.362
2022-01-03 01:00:00,79.0,23.0,1.1,0.005,0.045,0.005,0.2212865799665451,0.1531565934419632,0.1035886853933334,1.1518614292144775,2.559000015258789,271.14,40.719,267.585,100867.303,1.125,285.84
2022-01-03 02:00:00,75.0,33.0,0.8,0.005,0.035,0.011,0.3278561234474182,0.228594496846199,0.1557002961635589,0.601788341999054,2.515000104904175,272.815,35.069,437.231,100862.355,1.492,287.317
2022-01-03 03:00:00,56.0,30.0,0.8,0.005,0.032,0.015,0.6997429132461548,0.486131876707077,0.3300023078918457,0.0522887706756591,2.21399998664856,274.148,37.301,590.279,100768.265,1.998,285.386
2022-01-03 04:00:00,46.0,25.0,0.6,0.005,0.027,0.019,0.813300371170044,0.56510329246521,0.3836626410484314,0.4700276255607605,2.282999992370605,275.169,40.302,730.886,100654.585,2.498,285.227
2022-01-03 05:00:00,36.0,16.0,0.6,0.005,0.023,0.023,0.3971825838088989,0.276414692401886,0.1879445761442184,0.6198181509971619,2.0480000972747803,275.735,43.101,813.625,100582.464,2.808,283.7
2022-01-04 01:00:00,64.0,31.0,0.8,0.005,0.022,0.021,0.1521276980638504,0.1159209758043289,0.0822248086333274,1.625970721244812,3.4590001106262207,272.039,44.459,415.958,100930.789,2.628,315.539
2022-01-04 02:00:00,51.0,34.0,0.7,0.005,0.022,0.022,0.1362757086753845,0.1036254242062568,0.0733733624219894,1.5572715997695925,3.0450000762939453,273.124,33.551,525.507,100925.462,2.839,311.501
2022-01-04 03:00:00,52.0,30.0,0.7,0.005,0.02,0.026,0.1160065382719039,0.0802902355790138,0.0543048903346061,2.001659631729126,1.7230000495910645,274.072,27.837,649.59,100872.9,3.07,308.001
2022-01-04 04:00:00,47.0,31.0,0.7,0.004,0.021,0.027,0.1017794981598854,0.0704434365034103,0.0476449392735958,1.908212661743164,1.4299999475479126,274.707,25.165,745.668,100788.366,3.279,306.293
2022-01-04 05:00:00,46.0,15.0,0.6,0.004,0.025,0.024,0.0709859356284141,0.0491306520998477,0.0332298800349235,2.152548789978028,1.3969999551773071,274.962,24.176,810.257,100746.415,3.265,306.091
2022-01-04 06:00:00,46.0,16.0,0.6,0.004,0.023,0.025,0.0881062224507331,0.0609799101948738,0.0412442162632942,2.7230312824249268,1.3029999732971191,274.76,24.799,819.093,100752.063,3.141,305.147
2022-01-06 01:00:00,163.0,76.0,1.1,0.006,0.055,0.006,0.1942145079374313,0.147682636976242,0.1045686900615692,1.99480414390564,1.8530000448226929,272.539,44.526,329.959,100979.654,2.233,313.04
2022-01-06 02:00:00,109.0,59.0,0.9,0.005,0.048,0.008,0.1524131447076797,0.1158965229988098,0.0820620656013488,1.3141090869903564,1.940999984741211,274.137,34.591,475.621,101016.621,2.644,315.475
2022-01-06 03:00:00,76.0,42.0,0.7,0.004,0.028,0.024,0.1589940786361694,0.1209007278084755,0.0856053680181503,2.115086793899536,1.4739999771118164,275.398,30.948,645.134,100933.197,3.063,318.321
2022-01-06 04:00:00,51.0,30.0,0.6,0.004,0.027,0.026,0.1504579335451126,0.104134701192379,0.0704322680830955,1.7975177764892578,1.0729999542236328,276.216,31.625,745.554,100829.946,3.335,318.732
2022-01-07 01:00:00,138.0,71.0,1.4,0.007,0.064,0.004,0.1752600073814392,0.1332694739103317,0.0943632423877716,2.600456953048706,2.9110000133514404,271.397,53.432,184.768,101183.607,0.462,270.62
2022-01-07 02:00:00,136.0,88.0,1.2,0.007,0.064,0.005,0.1612575054168701,0.1226218193769455,0.0868240296840667,1.4903554916381836,2.2149999141693115,273.526,40.977,342.985,101176.435,0.896,295.793
2022-01-07 03:00:00,137.0,67.0,0.9,0.006,0.047,0.014,0.1575255990028381,0.1197840198874473,0.0848146975040435,2.297765254974365,1.924000024795532,275.077,34.074,447.366,101077.307,1.204,304.337
2022-01-07 04:00:00,85.0,54.0,0.9,0.006,0.043,0.018,0.139370858669281,0.096461109817028,0.0652421787381172,2.111095666885376,1.4199999570846558,276.253,29.821,528.404,100984.094,1.429,306.549
2022-01-07 05:00:00,72.0,39.0,0.7,0.005,0.031,0.027,0.1172315999865531,0.0891440883278846,0.0631196647882461,2.3080108165740967,1.4819999933242798,276.966,27.573,593.679,100929.587,1.542,301.69
2022-01-07 06:00:00,65.0,19.0,0.6,0.004,0.025,0.032,0.1379683464765548,0.1049125418066978,0.0742847174406051,2.9304215908050537,1.861999988555908,277.126,27.194,627.501,100914.281,1.635,294.418
2022-01-08 01:00:00,123.0,69.0,1.2,0.007,0.05,0.007,0.2101649343967437,0.1454591155052185,0.0983823984861373,1.8334872722625728,2.49399995803833,273.0,51.851,181.467,100721.252,0.652,238.554
2022-01-08 02:00:00,94.0,58.0,0.9,0.007,0.043,0.013,0.2225993573665619,0.1692668199539184,0.1198516264557838,1.0834927558898926,2.2980000972747803,275.157,43.871,341.029,100696.916,0.994,266.309
2022-01-08 03:00:00,81.0,49.0,0.8,0.007,0.031,0.023,0.2814089059829712,0.213986188173294,0.151515781879425,2.25254774093628,2.013000011444092,276.656,44.579,549.83,100589.764,1.456,279.689
2022-01-08 04:00:00,58.0,32.0,0.7,0.006,0.025,0.03,0.30315101146698,0.2305190563201904,0.1632221341133117,1.7580705881118774,1.955000042915344,277.675,46.106,806.309,100486.575,1.992,282.41
2022-01-08 05:00:00,52.0,23.0,0.6,0.005,0.019,0.036,0.3871423006057739,0.2943869531154632,0.2084446102380752,2.3521854877471924,2.101999998092652,278.328,46.288,950.582,100422.217,2.767,281.846
2022-01-08 06:00:00,43.0,18.0,0.6,0.005,0.017,0.036,0.6136303544044495,0.466611236333847,0.3303903341293335,1.5450111627578735,2.065000057220459,278.582,47.358,1043.874,100399.15,3.348,278.917
2022-01-09 02:00:00,94.0,77.0,0.9,0.005,0.029,0.025,1.488863825798035,1.033791184425354,0.7013994455337524,0.3621167540550232,2.756999969482422,276.003,75.152,603.873,100440.696,1.413,304.039
2022-01-09 06:00:00,87.0,45.0,0.7,0.004,0.016,0.038,1.5112624168395996,1.050709843635559,0.7137596011161804,0.4126141369342804,2.634999990463257,277.89,55.516,927.478,100210.136,1.605,317.172
2022-01-10 02:00:00,151.0,122.0,1.3,0.008,0.055,0.006,1.0180479288101196,0.7071006894111633,0.4798947274684906,0.3447097539901733,2.756999969482422,276.162,61.832,293.24,100289.972,0.237,252.025
2022-01-11 01:00:00,40.0,26.0,0.6,0.004,0.017,0.023,0.3948941528797149,0.3002814948558807,0.212618350982666,0.4103637337684631,2.869999885559082,268.325,42.046,1005.596,100016.544,5.243,302.371
2022-01-11 02:00:00,77.0,49.0,0.5,0.004,0.014,0.026,0.6298341751098633,0.437612920999527,0.297097384929657,0.5122270584106445,2.7890000343322754,269.179,37.98,1071.137,100062.163,5.521,302.185
2022-01-11 03:00:00,72.0,43.0,0.5,0.004,0.012,0.03,0.2727076113224029,0.2073696553707122,0.1468308418989181,1.5996954441070557,2.864000082015991,269.79,36.29,1185.086,100028.662,5.749,302.96
2022-01-11 04:00:00,50.0,24.0,0.4,0.004,0.014,0.03,0.4006423950195312,0.277898222208023,0.1883578449487686,0.8969591856002808,2.563999891281128,270.264,36.388,1280.301,99972.061,5.973,303.597
2022-01-11 06:00:00,41.0,13.0,0.4,0.004,0.013,0.031,0.2779003083705902,0.2113182097673416,0.1496266722679138,2.1962428092956543,1.2890000343322754,269.955,42.18,1383.684,100004.005,5.93,304.349
2022-01-12 01:00:00,48.0,28.0,0.6,0.005,0.023,0.015,0.1997303962707519,0.1518770307302475,0.1075385510921478,0.7363858222961426,1.6979999542236328,267.456,57.412,720.2,100429.567,3.058,313.065
2022-01-12 02:00:00,51.0,30.0,0.5,0.004,0.016,0.024,0.2154424786567688,0.1638246178627014,0.1159982308745384,0.6530777215957642,1.883999943733216,268.768,52.449,848.856,100414.522,3.438,307.697
2022-01-12 03:00:00,39.0,26.0,0.5,0.004,0.013,0.027,0.1154784709215164,0.0878109857439994,0.0621757507324218,2.0902106761932373,2.1419999599456787,269.894,47.795,932.113,100326.205,3.556,302.273
2022-01-12 04:00:00,33.0,22.0,0.4,0.004,0.015,0.027,0.1744769513607025,0.1207587048411369,0.0816760957241058,1.6855335235595703,1.659000039100647,270.755,44.528,992.179,100226.602,3.682,298.18
2022-01-12 05:00:00,39.0,19.0,0.4,0.004,0.015,0.03,0.1669615060091018,0.1269591897726059,0.0898951664566993,2.1317713260650635,1.4739999771118164,271.307,40.705,1026.827,100153.677,3.957,295.296
2022-01-12 06:00:00,33.0,22.0,0.4,0.004,0.016,0.028,0.2002292871475219,0.1522563844919204,0.1078071668744087,2.7787892818450928,1.562000036239624,271.293,41.454,1052.151,100171.617,4.083,294.161
2022-01-13 01:00:00,66.0,41.0,0.6,0.005,0.021,0.019,0.6489236950874329,0.4939965903759002,0.3501148521900177,0.2407481670379638,1.8459999561309808,268.356,47.567,1161.81,100186.183,4.286,315.104
2022-01-14 01:00:00,49.0,25.0,0.7,0.005,0.028,0.013,0.1392131000757217,0.0979194194078445,0.0672224760055542,0.7531461119651794,1.7419999837875366,268.346,51.56,593.869,100788.446,2.475,314.214
2022-01-14 02:00:00,44.0,30.0,0.6,0.005,0.027,0.015,0.2102125883102417,0.1480412483215332,0.1017415300011634,0.8326818943023682,1.9210000038146973,269.925,42.957,660.26,100774.854,2.793,318.963
2022-01-14 03:00:00,48.0,25.0,0.5,0.005,0.022,0.022,0.1120236366987228,0.0906982719898223,0.0809447020292282,1.8296247720718384,2.065999984741211,271.34,36.154,724.311,100699.395,2.705,316.169
2022-01-14 04:00:00,38.0,19.0,0.5,0.005,0.02,0.024,0.149387240409851,0.1211898848414421,0.1081379801034927,1.3543144464492798,2.128000020980835,272.527,32.092,779.016,100598.382,2.705,307.082
2022-01-14 05:00:00,35.0,12.0,0.5,0.005,0.019,0.026,0.0901370495557785,0.0730880349874496,0.0652211979031562,1.5941051244735718,2.181999921798706,273.428,29.033,794.572,100560.262,2.77,300.935
2022-01-14 06:00:00,62.0,14.0,0.5,0.005,0.03,0.018,0.133359283208847,0.1081631183624267,0.0965176746249198,1.0664715766906738,2.128999948501587,273.77,27.72,757.211,100539.745,2.666,301.192
2022-01-15 01:00:00,62.0,26.0,0.8,0.006,0.044,0.007,0.8247085213661194,0.5765018463134766,0.3935922682285309,0.3891440629959106,2.872999906539917,272.008,34.631,172.758,100546.562,0.295,205.087
2022-01-15 03:00:00,53.0,29.0,0.5,0.004,0.029,0.022,0.1812247633934021,0.1467494219541549,0.1309678107500076,1.6527334451675415,2.4679999351501465,275.149,24.57,372.719,100474.411,0.655,242.339
2022-01-15 04:00:00,39.0,13.0,0.5,0.004,0.027,0.025,0.17216856777668,0.1394848078489303,0.1244835555553436,1.671724796295166,2.5859999656677246,276.649,27.249,498.328,100384.34,1.295,255.234
2022-01-16 01:00:00,90.0,36.0,0.5,0.004,0.015,0.028,0.4386886656284332,0.333583265542984,0.236198142170906,0.4561511278152466,3.0230000019073486,272.029,60.623,649.978,100630.993,4.168,296.614
2022-01-16 02:00:00,65.0,36.0,0.5,0.005,0.012,0.031,0.4296056926250458,0.3267898857593536,0.2314569503068924,0.6723296046257019,2.782000064849853,272.742,48.773,814.991,100669.027,4.441,297.038
2022-01-16 03:00:00,51.0,21.0,0.4,0.005,0.009,0.036,0.3430218696594238,0.2608372867107391,0.1846893429756164,0.7599754929542542,2.684999942779541,273.309,41.749,959.62,100662.856,4.656,296.78
2022-01-16 04:00:00,37.0,13.0,0.3,0.004,0.007,0.036,0.1875956654548645,0.142649620771408,0.1010049805045127,1.4551645517349243,2.9089999198913574,273.639,37.504,1044.761,100603.409,4.873,297.417
2022-01-16 05:00:00,32.0,6.0,0.3,0.005,0.008,0.036,0.0395166985690593,0.0300488900393247,0.0212765224277973,2.1724443435668945,2.9549999237060547,273.622,35.865,1083.751,100585.875,4.974,298.719
2022-01-16 06:00:00,29.0,6.0,0.4,0.004,0.009,0.034,0.0579667091369628,0.0440784767270088,0.0312103498727083,2.1470675468444824,2.638000011444092,273.141,36.489,1081.291,100594.073,4.878,298.83
2022-01-17 01:00:00,70.0,32.0,0.7,0.005,0.036,0.01,0.2885221838951111,0.2198871821165084,0.1559894680976867,0.3280840516090393,2.9059998989105225,270.187,54.32,672.202,100917.665,1.514,300.12
2022-01-17 02:00:00,53.0,32.0,0.6,0.005,0.029,0.015,0.3195813596248626,0.223152220249176,0.1521992087364196,0.7442986965179443,2.953000068664551,271.309,52.933,868.872,100889.737,1.929,293.975
2022-01-18 01:00:00,71.0,32.0,0.6,0.005,0.027,0.017,0.153842493891716,0.1171635761857032,0.0830689221620559,1.0834494829177856,3.299999952316284,267.523,42.307,569.289,101063.499,2.213,314.213
2022-01-18 02:00:00,54.0,32.0,0.6,0.005,0.021,0.022,0.2416865676641464,0.1691718697547912,0.115636333823204,0.0095816850662231,3.181999921798706,269.097,35.343,696.292,101071.254,2.398,313.851
2022-01-18 03:00:00,42.0,21.0,0.6,0.005,0.018,0.026,0.1889880895614624,0.1531192809343338,0.1366515159606933,1.3811731338500977,1.9479999542236328,270.518,30.197,796.998,101014.389,2.541,313.006
2022-01-18 04:00:00,34.0,13.0,0.5,0.004,0.017,0.027,0.1614376157522201,0.1308906078338623,0.1168034970760345,1.515845537185669,1.7369999885559082,271.629,27.343,868.641,100871.713,2.606,314.72
2022-01-18 05:00:00,29.0,15.0,0.5,0.004,0.017,0.028,0.0772731900215148,0.0625840201973915,0.0558535270392894,1.8518022298812864,1.6150000095367432,272.402,25.712,889.207,100792.148,2.57,315.173
2022-01-18 06:00:00,27.0,10.0,0.5,0.004,0.018,0.027,0.1038074716925621,0.0730776861310005,0.050205685198307,1.495452880859375,1.9980000257492063,272.735,24.909,857.775,100728.613,2.536,314.84
2022-01-19 01:00:00,66.0,36.0,0.9,0.005,0.042,0.007,0.3835429549217224,0.2916499078273773,0.2065066546201706,1.2463637590408323,2.009000062942505,271.134,41.892,240.139,100655.426,1.287,186.512
2022-01-19 02:00:00,69.0,40.0,0.8,0.005,0.04,0.009,0.5158988237380981,0.392435610294342,0.2779550850391388,0.8901840448379517,1.9859999418258667,273.417,37.444,455.073,100616.975,1.635,208.571
2022-01-20 05:00:00,50.0,52.0,0.6,0.004,0.026,0.028,0.2669205665588379,0.2029690742492675,0.1437149792909622,0.875295102596283,1.0130000114440918,274.247,26.327,930.845,100853.766,2.0,331.577
2022-01-20 06:00:00,48.0,41.0,0.5,0.004,0.029,0.026,0.3199929893016815,0.2436376810073852,0.1727006286382675,0.1585461497306823,1.253000020980835,274.458,25.705,1050.572,100855.327,2.125,331.566
2022-01-21 01:00:00,84.0,76.0,1.3,0.007,0.07,0.004,0.1661174893379211,0.1265355199575424,0.0897273868322372,0.7477218508720398,2.0369999408721924,271.354,46.237,182.057,101253.322,0.886,62.51
2022-01-21 02:00:00,88.0,69.0,1.0,0.006,0.067,0.005,0.2736026644706726,0.2216005772352218,0.1977687329053878,0.2278928756713867,1.559999942779541,274.164,35.059,380.095,101233.956,1.241,82.549
2022-01-21 03:00:00,61.0,61.0,0.7,0.004,0.044,0.016,0.1959332227706909,0.1586301177740097,0.1415712088346481,1.67876398563385,1.3250000476837158,275.979,29.426,631.784,101216.375,1.011,108.991
