,PM10,PM25,aod354,aod443,aod550,alh,distance,t2m,rh,blh,sp,ws,wd,tp
2022-01-02 05:00:00,26.0,19.0,0.347339391708374,0.26412034034729,0.1870139837265014,1.4578300714492798,1.0190000534057615,273.75,30.161,783.42,100391.34,3.52,296.128,0.0
2022-01-02 06:00:00,18.0,12.0,0.0751963630318641,0.0571800805628299,0.0404871143400669,3.2463748455047607,0.6200000047683716,273.43,27.031,802.17,100388.5,3.444,296.937,0.0
2022-01-03 02:00:00,78.0,34.0,0.4435898065567016,0.307668000459671,0.2085224837064743,0.71782386302948,2.015000104904175,270.58,33.61,402.51,100548.38,1.463,259.765,0.0
2022-01-03 05:00:00,22.0,12.0,0.6090822219848633,0.4631527364253998,0.3279414772987366,0.6806079745292664,1.503999948501587,273.67,48.9,1081.18,100273.13,3.006,254.762,0.002
2022-01-03 06:00:00,13.0,12.0,0.8677219152450562,0.6039100885391235,0.4106394648551941,0.6948150396347046,1.1829999685287476,273.66,54.646,940.69,100228.62,3.275,253.502,0.003
2022-01-06 02:00:00,41.0,25.0,0.1448912173509597,0.1101767122745513,0.0780121088027954,2.005202531814575,1.4589999914169312,272.1,31.512,407.65,100743.3,2.299,302.93,0.0
2022-01-06 03:00:00,45.0,23.0,0.062964878976345,0.0435791388154029,0.0294750705361366,2.521963119506836,1.7359999418258667,273.52,30.591,533.69,100672.08,2.822,302.113,0.0
2022-01-06 04:00:00,39.0,26.0,0.0846127793192863,0.05856204777956,0.0396088659763336,2.498080253601074,1.3910000324249268,274.49,29.167,636.96,100582.29,3.098,303.947,0.0
2022-01-06 05:00:00,43.0,24.0,0.1177240386605262,0.0819567888975143,0.0557434074580669,2.6535897254943848,1.0709999799728394,275.01,28.661,706.16,100526.21,3.154,307.27,0.0
2022-01-06 06:00:00,38.0,20.0,0.0722597762942314,0.0500123091042041,0.0338261909782886,2.71121883392334,1.4800000190734863,275.03,28.714,736.01,100542.88,3.06,309.83,0.0
2022-01-07 02:00:00,66.0,43.0,0.1525978744029998,0.1160369515419006,0.0821615308523178,2.1259212493896484,2.101999998092652,271.55,37.803,301.85,100911.9,0.478,254.219,0.0
2022-01-07 03:00:00,50.0,31.0,0.0930106714367866,0.0707262605428695,0.0500786714255809,2.718982458114624,1.89300000667572,273.21,31.466,426.48,100821.73,0.808,262.171,0.0
2022-01-07 04:00:00,56.0,33.0,0.1108006164431572,0.0766871199011802,0.0518678985536098,2.711045265197754,1.3669999837875366,274.4,27.211,522.24,100730.61,1.204,265.236,0.0
2022-01-07 05:00:00,61.0,45.0,0.1190131604671478,0.0904987975955009,0.0640788897871971,2.412003993988037,1.319000005722046,275.08,25.428,577.75,100668.29,1.511,268.483,0.0
2022-01-07 06:00:00,69.0,42.0,0.1064051762223243,0.0809115692973136,0.0572905167937278,3.01854944229126,1.7300000190734863,275.19,25.567,592.16,100646.31,1.691,271.695,0.0
