idx,lat,lon,type,grid10_lat,grid10_lon,grid25_lat,grid25_lon,len,PM10mean,PM10max,PM10min,PM25mean,PM25max,PM25min,grid10,grid25,n_idxs10,n_idxs25,era_dist,eraland_dist
111121,37.5643,126.9747,city,37.55,126.95,37.625,126.875,92.3,31.076875502504794,73.0,7.0,19.320860906673264,46.0,3.0,37.55_126.95,37.625_126.875,4,16,7.489713191986084,4.552623271942139
324115,35.1458,126.9233,city,35.15,126.95,35.125,126.875,97.3,28.404574780058653,69.0,7.0,15.551612903225806,37.0,4.0,35.15_126.95,35.125_126.875,2,12,13.520992279052734,5.516513347625732
525111,36.3728,127.4172,city,36.35,127.45,36.375,127.375,96.7,37.92630833677503,88.0,8.0,18.81031329281964,46.0,3.0,36.35_127.45,36.375_127.375,4,12,15.539886474609377,3.3944594860076904
