,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
12,,,,,,,,,,,44.75233928717051,41.77061739689788,40.393018105336296,39.353134106221326,39.62754880850988,41.93820515448144,,,,,,,,
11,,,,,,,,,,,44.42129211066632,39.92274996619948,37.88802351287327,37.81831774059201,38.804200791379756,41.22993390182806,,,,,,,,
10,,,,,,,,,,42.94244718427661,38.801417563967604,35.604474080354066,33.003080613884684,32.568424283009485,32.90383421391994,35.12734557610099,34.586925191135315,,,,,,,
9,,,,,,,,,31.72948086687256,30.797850874339883,29.03791849629797,27.8702330755431,26.58283639044362,26.587135683451308,26.74024660817719,27.730519719208207,28.852441742367112,27.17035232941116,,,,,,
8,,,,,,,,,27.97749467631168,27.169567642250364,26.040359295746253,24.566113506844285,24.352557138848837,22.568358020256095,22.927051183191825,24.08717343152879,25.81149370789179,26.611813395152936,,,,,,
7,,,,,,,,,29.019717008221292,29.03578894080041,29.08620210905815,28.12257373123331,26.50001348638104,25.04874890873015,25.087996531877202,25.84863222368994,28.535536847760067,28.375503934303698,,,,,,
6,,,,,,,,,34.19196815238237,33.10469338846265,32.58883865385034,32.49782723618792,32.42624549511592,32.834432465055194,33.23130115767964,32.765113531567614,33.06457482752349,32.26321373286904,,,,,,
5,,,,,,,,,44.44596420162463,42.43923668739911,41.160573280580465,40.31981017056867,39.5478968546164,39.70440248417331,40.77615217717749,41.238638276591104,41.940311294409405,41.58130859020356,,,,,,
4,,,,,,,,,54.74017579808248,54.00636196933784,53.47041625414849,53.02131984618255,51.21498305444387,51.392417620149395,53.47066430354762,55.040590184527865,54.6574169168168,52.403275412677154,,,,,,
3,,,,,,,,,,57.084105215410354,55.990167713758645,53.52384043572145,50.976897884759886,50.63075768746372,53.3048961988713,55.676555658393454,57.3305925116279,,,,,,,
2,,,,,,,,,,,44.47755473731578,42.56083750873976,40.49293588035914,40.65641961507075,41.61017005918923,43.16431897236196,43.95340484396937,,,,,,,
1,,,,,,,,,,,43.78769086181515,41.07680739858134,39.65973504226622,39.0222345713003,39.94752964273327,40.942692956629074,,,,,,,,
