,PM10,PM25,CO,SO2,NO2,O3,aod354,aod443,aod550,alh,distance,t2m,rh,blh,sp,ws,wd
2022-01-01 02:00:00,9.0,4.0,0.4,0.002,0.006,0.04,0.3247682452201843,0.2633721530437469,0.2350202798843383,0.2424752116203308,1.7899999618530271,272.347,29.304,353.091,101482.873,2.257,6.054
2022-01-01 04:00:00,8.0,3.0,0.3,0.002,0.006,0.04,0.2052934020757675,0.1664252877235412,0.148516297340393,1.4824448823928833,2.378000020980835,275.424,31.714,452.307,101247.927,2.234,3.696
2022-01-01 05:00:00,6.0,5.0,0.3,0.002,0.007,0.041,0.7098509669303894,0.4955865442752838,0.3379628956317901,0.3599316477775574,2.7070000171661377,276.12,34.253,480.16,101142.004,1.98,2.808
2022-01-01 06:00:00,8.0,5.0,0.3,0.002,0.008,0.039,0.7263586521148682,0.506969153881073,0.3456370234489441,0.4235193133354187,2.819999933242798,276.263,35.495,461.9,101103.784,1.711,356.549
2022-01-02 01:00:00,32.0,23.0,0.9,0.003,0.037,0.009,0.8350159525871277,0.6349563002586365,0.4495892822742462,0.3305349946022033,0.6660000085830688,274.898,48.667,71.656,101031.694,0.407,251.209
2022-01-03 01:00:00,36.0,22.0,1.0,0.003,0.052,0.007,0.2696126401424408,0.2188081294298172,0.1952305138111114,0.3146961331367492,0.871999979019165,273.563,50.02,234.902,101027.566,1.436,349.567
2022-01-03 02:00:00,52.0,34.0,0.8,0.003,0.049,0.011,0.2912016808986664,0.2360194325447082,0.2106269299983978,0.2548497915267944,0.9100000262260436,275.315,47.807,429.032,101041.723,2.268,341.381
2022-01-03 03:00:00,39.0,23.0,0.6,0.003,0.024,0.022,0.0924244597554206,0.0749286115169525,0.0668652579188346,1.5450400114059448,1.1619999408721924,276.447,48.356,540.646,100959.321,2.55,331.364
2022-01-03 04:00:00,23.0,14.0,0.5,0.003,0.017,0.029,0.1407603472471237,0.114124946296215,0.101842351257801,1.6098037958145142,1.2710000276565552,277.167,50.98,620.68,100844.951,2.668,324.952
2022-01-03 05:00:00,16.0,8.0,0.4,0.003,0.015,0.033,0.2881165444850921,0.2013387531042099,0.1374187022447586,0.9119146466255188,1.2350000143051147,277.437,52.21,666.392,100773.604,2.864,321.706
2022-01-03 06:00:00,21.0,7.0,0.5,0.003,0.017,0.03,0.4186371266841888,0.2944592833518982,0.2021485269069671,0.4149547219276428,1.343999981880188,277.232,55.331,679.376,100743.811,2.925,321.927
2022-01-04 01:00:00,51.0,30.0,0.7,0.003,0.022,0.02,0.4289608001708984,0.3264535963535309,0.2313126176595688,0.0516706705093383,1.1430000066757202,274.957,67.328,535.452,101083.627,3.006,1.43
2022-01-04 02:00:00,48.0,28.0,0.6,0.003,0.015,0.031,0.3933590650558471,0.2991141676902771,0.2117918282747268,0.7749959230422974,1.194000005722046,275.863,54.652,772.072,101097.482,3.201,354.478
2022-01-04 03:00:00,37.0,26.0,0.5,0.003,0.01,0.038,0.2561801373958587,0.2075087875127792,0.185192197561264,1.178362250328064,2.622999906539917,276.576,46.412,893.928,101061.605,3.396,344.912
2022-01-04 04:00:00,20.0,12.0,0.4,0.003,0.01,0.038,0.2224967926740646,0.1804357469081878,0.1610118448734283,0.8937935829162598,2.4679999351501465,276.8,40.338,898.35,100989.113,3.503,337.865
2022-01-04 05:00:00,20.0,6.0,0.4,0.003,0.012,0.037,0.2087747156620025,0.1482724249362945,0.1026421636343002,0.8448213338851929,1.906000018119812,276.691,38.87,864.013,100956.19,3.423,335.082
2022-01-04 06:00:00,21.0,5.0,0.5,0.003,0.013,0.035,0.1723124384880066,0.123134933412075,0.085682526230812,0.6516414284706116,2.010999917984009,276.273,40.165,792.074,100952.682,3.301,333.885
2022-01-06 02:00:00,37.0,28.0,0.6,0.004,0.017,0.027,0.2854165434837341,0.2313089519739151,0.2064256221055984,0.3973600268363952,2.2660000324249268,275.441,45.865,612.648,101143.832,3.717,351.148
2022-01-06 03:00:00,30.0,17.0,0.4,0.003,0.012,0.034,0.2468225955963134,0.2000501900911331,0.1785274595022201,0.8917465209960938,2.250999927520752,276.418,39.566,720.49,101064.62,4.014,349.855
2022-01-06 04:00:00,23.0,15.0,0.4,0.003,0.01,0.036,0.1990457475185394,0.1613596677780151,0.143995851278305,1.0800256729125977,2.371000051498413,276.986,37.777,778.384,100993.028,4.12,347.438
2022-01-06 05:00:00,20.0,14.0,0.4,0.003,0.013,0.036,0.2456623762845993,0.1729298233985901,0.1188000813126564,0.8056842088699341,2.2170000076293945,277.195,39.794,789.353,100972.379,4.008,344.011
2022-01-06 06:00:00,34.0,17.0,0.4,0.003,0.012,0.038,0.2614310979843139,0.1838917136192321,0.1262474060058593,0.6607633829116821,2.134000062942505,277.063,43.616,772.923,100992.03,3.87,341.298
2022-01-07 01:00:00,46.0,33.0,0.9,0.003,0.038,0.01,0.2663189172744751,0.1874278038740158,0.1287341117858886,0.4102846980094909,1.5130000114440918,273.464,47.416,178.906,101317.839,1.342,2.99
2022-01-07 02:00:00,58.0,41.0,0.8,0.003,0.04,0.013,0.2286012917757034,0.1852994114160537,0.165361687541008,0.7006648778915405,1.5269999504089355,275.73,36.811,281.44,101308.166,1.518,355.465
2022-01-07 03:00:00,55.0,40.0,0.7,0.003,0.035,0.019,0.1902896761894226,0.1542176306247711,0.1376272439956665,1.2213151454925537,1.4700000286102295,277.404,32.666,396.902,101218.184,1.712,344.689
2022-01-07 04:00:00,50.0,36.0,0.6,0.003,0.03,0.027,0.1330954283475875,0.1078666895627975,0.0962624922394752,1.537362575531006,1.4730000495910645,278.317,30.683,494.229,101136.084,1.99,336.953
2022-01-07 05:00:00,40.0,29.0,0.5,0.003,0.023,0.032,0.2082102745771408,0.146113634109497,0.1001051068305969,0.4898672699928283,1.430999994277954,278.619,32.222,534.473,101098.723,2.185,332.438
2022-01-07 06:00:00,36.0,27.0,0.5,0.004,0.025,0.033,0.2525257468223572,0.1769990175962448,0.1211345866322517,0.1224128007888794,1.2899999618530271,278.25,33.662,521.688,101083.907,2.276,332.804
2022-01-08 01:00:00,54.0,38.0,1.2,0.003,0.05,0.008,0.2289980053901672,0.1609541773796081,0.1104252934455871,0.8800618052482605,1.3910000324249268,274.537,48.29,266.703,100919.002,1.292,341.13
2022-01-08 02:00:00,77.0,51.0,1.0,0.003,0.05,0.011,0.3471403121948242,0.2449042499065399,0.1685712188482284,0.8166818022727966,1.184000015258789,276.504,43.209,411.919,100894.759,1.921,343.301
2022-01-08 03:00:00,69.0,50.0,0.6,0.003,0.027,0.026,0.3212968111038208,0.2257796078920364,0.1548710018396377,0.1799249053001403,1.0759999752044678,277.831,42.029,554.576,100788.148,2.337,336.045
2022-01-08 04:00:00,35.0,24.0,0.5,0.003,0.016,0.036,0.24493008852005,0.1719789952039718,0.1178845167160034,0.0621426701545715,0.9390000104904176,278.673,46.057,695.053,100695.722,2.726,327.161
2022-01-08 05:00:00,24.0,15.0,0.5,0.003,0.016,0.037,0.229661762714386,0.1606524288654327,0.1097496375441551,0.7668155431747437,0.8759999871253967,278.88,50.878,789.414,100648.963,2.915,320.177
2022-01-08 06:00:00,26.0,17.0,0.5,0.003,0.017,0.038,0.3237428963184356,0.2266485691070556,0.1549489498138427,0.0568151473999023,1.1169999837875366,278.762,53.955,812.367,100645.958,3.12,315.065
2022-01-09 01:00:00,44.0,34.0,0.9,0.003,0.039,0.009,1.1733102798461914,0.8926646709442139,0.6323476433753967,0.1515408754348755,1.0219999551773071,276.986,83.766,108.69,100606.909,0.747,329.76
2022-01-09 02:00:00,55.0,42.0,0.8,0.003,0.034,0.017,1.3958234786987305,0.9701199531555176,0.6588050127029419,0.7263104915618896,0.8159999847412109,278.387,77.742,709.64,100574.371,2.335,344.5
2022-01-10 01:00:00,84.0,72.0,1.3,0.003,0.041,0.006,0.7506828308105469,0.523140013217926,0.3561524748802185,0.3048193454742431,1.0140000581741333,275.328,73.816,121.344,100504.037,0.419,348.288
2022-01-10 02:00:00,99.0,78.0,1.3,0.003,0.048,0.008,0.6654579043388367,0.4640083014965057,0.3160605430603027,0.017551839351654,0.9179999828338624,277.958,63.709,263.415,100460.881,0.613,333.226
2022-01-10 03:00:00,114.0,86.0,1.1,0.003,0.044,0.013,0.6453665494918823,0.4488433301448822,0.3050000071525574,0.2849720120429992,0.6840000152587891,279.363,59.781,500.914,100373.059,0.792,302.987
2022-01-10 04:00:00,110.0,85.0,1.0,0.005,0.032,0.03,0.5340180993080139,0.4060728549957275,0.287525326013565,0.7827854752540588,0.4320000112056732,280.094,56.988,646.805,100231.996,0.934,294.398
2022-01-10 05:00:00,102.0,79.0,1.0,0.005,0.027,0.04,0.5903604626655579,0.4489578306674957,0.3179158568382263,0.6267275810241699,0.4189999997615814,280.459,55.367,723.557,100156.242,1.409,286.364
2022-01-10 06:00:00,96.0,72.0,0.8,0.003,0.03,0.034,0.5956281423568726,0.4154760539531708,0.2831028997898102,0.2636962532997131,0.7609999775886536,280.094,55.513,686.633,100160.104,2.123,292.724
2022-01-12 01:00:00,21.0,13.0,0.5,0.002,0.01,0.028,0.3161587417125702,0.2404103130102157,0.1702257245779037,0.8879414200782776,1.4539999961853027,269.886,64.8,577.477,100613.523,2.311,359.455
2022-01-12 02:00:00,23.0,13.0,0.5,0.002,0.011,0.028,0.4248222708702087,0.3230391442775726,0.2287322133779525,0.6880906820297241,1.7309999465942385,270.999,62.558,678.971,100622.969,2.666,347.105
2022-01-14 01:00:00,27.0,17.0,0.5,0.003,0.011,0.028,0.1813073456287384,0.1269569844007492,0.0868104249238967,0.5830138921737671,1.36899995803833,270.594,59.636,600.948,100964.393,2.427,0.661
2022-01-14 02:00:00,27.0,12.0,0.5,0.003,0.011,0.031,0.158772200345993,0.1285458952188491,0.1147222071886062,1.3766191005706787,1.434999942779541,272.093,56.003,742.225,100969.411,2.924,352.632
2022-01-14 03:00:00,28.0,12.0,0.4,0.003,0.01,0.035,0.0970277488231659,0.0785504579544067,0.070103071630001,1.91397225856781,1.8609999418258667,273.215,50.79,812.718,100902.266,3.262,345.896
2022-01-14 04:00:00,23.0,12.0,0.4,0.002,0.011,0.034,0.097400426864624,0.0790341347455978,0.0705197155475616,1.627964973449707,1.8009999990463257,274.057,46.026,802.078,100802.324,3.417,341.008
2022-01-14 05:00:00,23.0,8.0,0.4,0.002,0.012,0.034,0.1247182711958885,0.1012565791606903,0.0903400778770446,1.0683345794677734,1.6690000295639038,274.569,44.991,769.876,100750.953,3.344,341.684
2022-01-14 06:00:00,13.0,6.0,0.4,0.002,0.014,0.032,0.1244616284966468,0.0887589380145073,0.06165761500597,0.6861304044723511,1.633999943733215,274.581,43.831,713.732,100707.507,3.299,345.804
2022-01-16 06:00:00,31.0,10.0,0.4,0.002,0.008,0.037,0.3354501724243164,0.2550796866416931,0.1806125938892364,0.1561030745506286,1.4839999675750732,274.561,53.532,1112.428,100829.05,5.195,323.28
2022-01-18 01:00:00,29.0,10.0,0.5,0.003,0.008,0.032,0.0934546738862991,0.0668998956680297,0.0466183498501777,1.1702277660369873,1.3960000276565552,269.834,49.094,690.894,101238.181,2.882,356.479
2022-01-18 04:00:00,15.0,8.0,0.4,0.003,0.01,0.032,0.1923363804817199,0.1563321948051452,0.1394505798816681,0.6184861063957214,1.5190000534057615,273.382,36.555,808.625,101032.55,3.338,346.68
2022-01-18 05:00:00,20.0,8.0,0.4,0.003,0.009,0.034,0.2094380855560302,0.170025885105133,0.1516971886157989,0.2898183465003967,1.281999945640564,273.902,36.281,800.089,100961.271,3.228,344.491
2022-01-18 06:00:00,14.0,8.0,0.4,0.003,0.011,0.033,0.1852101236581802,0.1502776145935058,0.1340891867876052,0.8212616443634033,0.8830000162124634,273.94,36.998,759.229,100899.816,3.075,343.079
2022-01-19 01:00:00,56.0,28.0,1.0,0.003,0.045,0.007,0.5110042691230774,0.3886652290821075,0.2752558588981628,0.5357790589332581,1.9520000219345093,272.236,37.213,263.664,100916.121,0.816,356.699
2022-01-19 02:00:00,58.0,34.0,0.9,0.003,0.044,0.01,0.4687522649765014,0.3564439415931701,0.2523849308490753,0.0581552386283874,2.368000030517578,274.459,33.803,422.482,100886.592,0.759,326.226
2022-01-19 03:00:00,60.0,36.0,0.8,0.003,0.042,0.012,0.4716920852661133,0.3586794137954712,0.2539677619934082,0.8373479247093201,1.950000047683716,276.04,31.064,540.558,100773.001,0.996,286.269
2022-01-19 04:00:00,61.0,36.0,0.7,0.003,0.034,0.025,0.487317144870758,0.3393765389919281,0.2309026271104812,0.6141165494918823,1.75600004196167,277.28,29.307,665.894,100653.603,1.379,271.537
2022-01-19 05:00:00,58.0,39.0,0.6,0.003,0.028,0.029,0.4170699417591095,0.2907288074493408,0.1979774832725525,0.3314887881278991,1.3919999599456787,278.082,32.367,1008.655,100560.906,2.028,272.798
2022-01-19 06:00:00,47.0,30.0,0.5,0.003,0.021,0.034,0.39445561170578,0.2999480366706848,0.2123822271823883,0.6632800698280334,1.1649999618530271,278.068,37.058,1117.53,100508.446,2.621,276.046
2022-01-20 01:00:00,42.0,29.0,0.6,0.003,0.011,0.033,0.1603535562753677,0.1221730560064315,0.0866502821445465,1.7072244882583618,1.9429999589920044,270.096,43.928,437.907,101087.601,2.477,352.694
2022-01-20 02:00:00,35.0,24.0,0.6,0.003,0.012,0.033,0.2249083220958709,0.1576568037271499,0.1079065054655075,0.1863051652908325,2.3469998836517334,271.903,40.113,541.242,101106.085,2.571,351.974
2022-01-20 03:00:00,35.0,24.0,0.6,0.003,0.011,0.036,0.2149627059698104,0.1742453277111053,0.1554968953132629,1.3535163402557373,2.305000066757202,273.477,35.858,664.422,101075.706,2.671,350.386
2022-01-20 04:00:00,28.0,22.0,0.5,0.003,0.014,0.034,0.2363564372062683,0.1915637701749801,0.1709544509649276,1.3833603858947754,2.150000095367432,274.452,34.776,801.164,100992.882,2.702,346.843
2022-01-20 05:00:00,29.0,20.0,0.5,0.003,0.015,0.033,0.2540436685085296,0.2058298289775848,0.1836931407451629,0.8584111928939819,1.9709999561309808,274.87,34.827,920.572,100989.823,2.733,343.721
2022-01-20 06:00:00,26.0,18.0,0.5,0.002,0.016,0.033,0.3348882794380188,0.2346286922693252,0.1605139523744583,0.2526654005050659,1.883000016212464,274.795,35.161,950.025,100993.008,2.836,342.875
2022-01-21 01:00:00,58.0,43.0,1.1,0.003,0.043,0.007,0.2122071534395218,0.1615083962678909,0.1144458204507827,1.8616989850997925,1.9859999418258667,273.679,40.881,137.397,101373.187,0.621,60.713
2022-01-21 02:00:00,62.0,45.0,0.9,0.003,0.036,0.013,0.255094826221466,0.1942626684904098,0.1377243846654892,0.2058116793632507,1.991000056266785,276.437,33.975,362.658,101376.768,0.311,105.11
2022-01-21 03:00:00,48.0,35.0,0.7,0.003,0.028,0.022,0.2413251847028732,0.195466861128807,0.1744454205036163,1.5209192037582395,1.7910000085830688,277.935,37.377,732.357,101341.933,0.54,181.697
2022-01-21 04:00:00,40.0,26.0,0.7,0.003,0.029,0.025,0.3031519055366516,0.2454932779073715,0.2190924286842346,1.6922142505645752,1.5549999475479126,278.989,37.675,925.344,101241.949,0.686,191.015
2022-01-21 05:00:00,40.0,31.0,0.7,0.003,0.03,0.026,1.1571937799453735,0.8062442541122437,0.5487708449363708,0.6188300251960754,1.3860000371932983,279.478,39.541,1024.572,101154.288,0.692,187.802
2022-01-21 06:00:00,38.0,27.0,0.6,0.003,0.023,0.035,0.7540483474731445,0.5267320871353149,0.3593810200691223,0.8256468772888184,1.2359999418258667,279.484,40.829,1050.873,101128.171,0.707,188.382
2022-01-26 01:00:00,49.0,36.0,0.7,0.003,0.013,0.039,0.7655411958694458,0.5821266770362854,0.4121825695037842,0.8542752265930176,2.502000093460083,276.115,72.017,753.278,100800.285,2.092,357.288
